Frequency	dBVrms
0.000000	-46.686190
12.500000	-45.770105
25.000000	-52.182778
37.500000	-59.166693
50.000000	-60.221382
62.500000	-60.783166
75.000000	-60.264498
87.500000	-59.145838
100.000000	-57.391240
112.500000	-57.395008
125.000000	-59.927919
137.500000	-60.497201
150.000000	-58.524108
162.500000	-58.484832
175.000000	-59.865497
187.500000	-60.222555
200.000000	-60.373753
212.500000	-60.722579
225.000000	-59.258664
237.500000	-59.147297
250.000000	-61.614658
262.500000	-59.669421
275.000000	-56.299516
287.500000	-56.252676
300.000000	-58.856618
312.500000	-62.477549
325.000000	-64.750229
337.500000	-64.762293
350.000000	-62.739301
362.500000	-60.429779
375.000000	-59.806188
387.500000	-60.243003
400.000000	-61.162792
412.500000	-63.167535
425.000000	-65.270440
437.500000	-64.956907
450.000000	-62.832831
462.500000	-62.087492
475.000000	-64.133300
487.500000	-65.885049
500.000000	-62.773886
512.500000	-60.982001
525.000000	-60.779400
537.500000	-61.114535
550.000000	-61.407183
562.500000	-61.404537
575.000000	-60.723067
587.500000	-59.158355
600.000000	-58.574292
612.500000	-59.844007
625.000000	-61.817484
637.500000	-62.387511
650.000000	-64.006668
662.500000	-66.142844
675.000000	-63.624277
687.500000	-62.736854
700.000000	-62.439234
712.500000	-61.285110
725.000000	-61.517509
737.500000	-63.508720
750.000000	-64.367349
762.500000	-64.074188
775.000000	-64.539154
787.500000	-64.197751
800.000000	-62.303088
812.500000	-60.284773
825.000000	-59.465348
837.500000	-58.821777
850.000000	-58.314813
862.500000	-59.111902
875.000000	-61.317996
887.500000	-62.073739
900.000000	-60.367778
912.500000	-59.921397
925.000000	-60.873265
937.500000	-62.076181
950.000000	-63.061407
962.500000	-62.931300
975.000000	-62.240903
987.500000	-61.286406
1000.000000	-60.976298
1012.500000	-60.634548
1025.000000	-59.180331
1037.500000	-57.950998
1050.000000	-58.116044
1062.500000	-60.652312
1075.000000	-64.029927
1087.500000	-62.647544
1100.000000	-62.060491
1112.500000	-62.788640
1125.000000	-63.417745
1137.500000	-63.659293
1150.000000	-63.338724
1162.500000	-62.652510
1175.000000	-61.741672
1187.500000	-61.060487
1200.000000	-60.116455
1212.500000	-59.320335
1225.000000	-59.097824
1237.500000	-59.454372
1250.000000	-59.882217
1262.500000	-60.144779
1275.000000	-60.947844
1287.500000	-61.876335
1300.000000	-61.242280
1312.500000	-60.173199
1325.000000	-59.818341
1337.500000	-60.075483
1350.000000	-60.897776
1362.500000	-62.176429
1375.000000	-63.242501
1387.500000	-62.304922
1400.000000	-59.873465
1412.500000	-58.737029
1425.000000	-59.496590
1437.500000	-60.550653
1450.000000	-60.398349
1462.500000	-60.887087
1475.000000	-62.298119
1487.500000	-63.345116
1500.000000	-63.830838
1512.500000	-62.721307
1525.000000	-60.960878
1537.500000	-59.542264
1550.000000	-58.980946
1562.500000	-58.903482
1575.000000	-58.738679
1587.500000	-59.094980
1600.000000	-60.703433
1612.500000	-63.809142
1625.000000	-66.308074
1637.500000	-64.252368
1650.000000	-61.805496
1662.500000	-61.114684
1675.000000	-61.505501
1687.500000	-61.531418
1700.000000	-61.974556
1712.500000	-62.833771
1725.000000	-62.133924
1737.500000	-61.149723
1750.000000	-60.997191
1762.500000	-60.910269
1775.000000	-59.476586
1787.500000	-56.849088
1800.000000	-55.549971
1812.500000	-56.499542
1825.000000	-58.918172
1837.500000	-61.432814
1850.000000	-64.074772
1862.500000	-65.357957
1875.000000	-64.045324
1887.500000	-63.737295
1900.000000	-64.751029
1912.500000	-63.707818
1925.000000	-61.015108
1937.500000	-59.885782
1950.000000	-60.464003
1962.500000	-62.080246
1975.000000	-62.417102
1987.500000	-60.772199
2000.000000	-61.070858
2012.500000	-63.186633
2025.000000	-62.565475
2037.500000	-62.244446
2050.000000	-63.773766
2062.500000	-63.443771
2075.000000	-62.523245
2087.500000	-61.493184
2100.000000	-59.464834
2112.500000	-57.973221
2125.000000	-57.986066
2137.500000	-58.442371
2150.000000	-58.910837
2162.500000	-60.385345
2175.000000	-61.285235
2187.500000	-60.766588
2200.000000	-60.692769
2212.500000	-61.053732
2225.000000	-61.958412
2237.500000	-62.523346
2250.000000	-61.804190
2262.500000	-61.605964
2275.000000	-61.832872
2287.500000	-61.458908
2300.000000	-61.009995
2312.500000	-61.329870
2325.000000	-62.544146
2337.500000	-62.656740
2350.000000	-59.165552
2362.500000	-57.141624
2375.000000	-58.329622
2387.500000	-61.137162
2400.000000	-61.836447
2412.500000	-62.435752
2425.000000	-63.575269
2437.500000	-63.199897
2450.000000	-61.437800
2462.500000	-59.715550
2475.000000	-58.877457
2487.500000	-58.981936
2500.000000	-59.835236
2512.500000	-61.644963
2525.000000	-63.184451
2537.500000	-63.066940
2550.000000	-63.185949
2562.500000	-62.918652
2575.000000	-62.115451
2587.500000	-62.822226
2600.000000	-64.039201
2612.500000	-64.614157
2625.000000	-64.181688
2637.500000	-63.551182
2650.000000	-63.990699
2662.500000	-64.238387
2675.000000	-64.634321
2687.500000	-65.151458
2700.000000	-65.478837
2712.500000	-64.552569
2725.000000	-61.272529
2737.500000	-58.557370
2750.000000	-57.433318
2762.500000	-58.601491
2775.000000	-62.159305
2787.500000	-61.978188
2800.000000	-60.814012
2812.500000	-62.279801
2825.000000	-62.432231
2837.500000	-60.335955
2850.000000	-59.220882
2862.500000	-59.438854
2875.000000	-59.651789
2887.500000	-58.798603
2900.000000	-57.853511
2912.500000	-57.136013
2925.000000	-57.129756
2937.500000	-58.709461
2950.000000	-62.625488
2962.500000	-67.393653
2975.000000	-67.088971
2987.500000	-66.716936
3000.000000	-66.766687
3012.500000	-63.448310
3025.000000	-59.392584
3037.500000	-57.132212
3050.000000	-57.007125
3062.500000	-58.966762
3075.000000	-61.847697
3087.500000	-63.529720
3100.000000	-62.904699
3112.500000	-60.982170
3125.000000	-60.699676
3137.500000	-62.651179
3150.000000	-64.561302
3162.500000	-63.569925
3175.000000	-63.245731
3187.500000	-64.073238
3200.000000	-63.308547
3212.500000	-62.484830
3225.000000	-62.711899
3237.500000	-62.538494
3250.000000	-61.563258
3262.500000	-60.751058
3275.000000	-60.478913
3287.500000	-60.348256
3300.000000	-60.770875
3312.500000	-61.828672
3325.000000	-63.017083
3337.500000	-62.797528
3350.000000	-62.000788
3362.500000	-61.734920
3375.000000	-61.252262
3387.500000	-60.996796
3400.000000	-61.333624
3412.500000	-60.710173
3425.000000	-59.557965
3437.500000	-59.478207
3450.000000	-60.693918
3462.500000	-62.839354
3475.000000	-63.383733
3487.500000	-60.962655
3500.000000	-58.518188
3512.500000	-57.111968
3525.000000	-57.475948
3537.500000	-59.745774
3550.000000	-62.754745
3562.500000	-63.246345
3575.000000	-61.914532
3587.500000	-60.951381
3600.000000	-61.272479
3612.500000	-62.287540
3625.000000	-60.525603
3637.500000	-59.849573
3650.000000	-61.827496
3662.500000	-62.648608
3675.000000	-61.963505
3687.500000	-62.084785
3700.000000	-63.527175
3712.500000	-64.320543
3725.000000	-62.909691
3737.500000	-61.309807
3750.000000	-60.833870
3762.500000	-61.713045
3775.000000	-62.835107
3787.500000	-62.546787
3800.000000	-62.153401
3812.500000	-61.024030
3825.000000	-60.268075
3837.500000	-61.837989
3850.000000	-64.233813
3862.500000	-62.568513
3875.000000	-58.163026
3887.500000	-55.985808
3900.000000	-56.275919
3912.500000	-58.462236
3925.000000	-62.031020
3937.500000	-64.432643
3950.000000	-62.457840
3962.500000	-60.453527
3975.000000	-60.125816
3987.500000	-60.815047
4000.000000	-61.679390
4012.500000	-62.578784
4025.000000	-62.378244
4037.500000	-61.094935
4050.000000	-59.645542
4062.500000	-59.126679
4075.000000	-60.513677
4087.500000	-62.383276
4100.000000	-62.406688
4112.500000	-60.712412
4125.000000	-60.153484
4137.500000	-61.857723
4150.000000	-65.285512
4162.500000	-64.724000
4175.000000	-61.028180
4187.500000	-59.031046
4200.000000	-59.299323
4212.500000	-60.159094
4225.000000	-59.742558
4237.500000	-59.499473
4250.000000	-60.075253
4262.500000	-61.134133
4275.000000	-62.976003
4287.500000	-64.844416
4300.000000	-63.572521
4312.500000	-61.706024
4325.000000	-60.792595
4337.500000	-60.509658
4350.000000	-60.653393
4362.500000	-59.874481
4375.000000	-59.345330
4387.500000	-60.983121
