waveform	Source signal	
t0	2/25/2020  12:10:15.106203	
delta t	1.250000E-5	

time[0]	Source signal
2/25/2020  12:10:15.107603	9.220307E-1
2/25/2020  12:10:15.107615	-1.843170E-1
2/25/2020  12:10:15.107628	-7.800428E-1
2/25/2020  12:10:15.107640	9.220307E-1
2/25/2020  12:10:15.107653	-4.396281E-1
2/25/2020  12:10:15.107665	-3.545244E-1
2/25/2020  12:10:15.107678	9.220307E-1
2/25/2020  12:10:15.107690	-9.502501E-1
2/25/2020  12:10:15.107703	4.965124E-1
2/25/2020  12:10:15.107715	1.560977E-1
2/25/2020  12:10:15.107728	-6.949391E-1
2/25/2020  12:10:15.107740	1.007134E+0
2/25/2020  12:10:15.107753	-7.800428E-1
2/25/2020  12:10:15.107765	1.560977E-1
2/25/2020  12:10:15.107778	5.816160E-1
2/25/2020  12:10:15.107790	-9.502501E-1
2/25/2020  12:10:15.107803	5.816160E-1
2/25/2020  12:10:15.107815	3.263050E-1
2/25/2020  12:10:15.107828	-1.035354E+0
2/25/2020  12:10:15.107840	4.965124E-1
2/25/2020  12:10:15.107853	5.816160E-1
2/25/2020  12:10:15.107865	-9.502501E-1
2/25/2020  12:10:15.107878	-1.843170E-1
2/25/2020  12:10:15.107890	1.007134E+0
2/25/2020  12:10:15.107903	-1.410969E-2
2/25/2020  12:10:15.107915	-9.502501E-1
2/25/2020  12:10:15.107928	-1.410969E-2
2/25/2020  12:10:15.107940	1.007134E+0
2/25/2020  12:10:15.107953	1.560977E-1
2/25/2020  12:10:15.107965	-9.502501E-1
2/25/2020  12:10:15.107978	-2.694207E-1
2/25/2020  12:10:15.107990	9.220307E-1
2/25/2020  12:10:15.108003	3.263050E-1
2/25/2020  12:10:15.108015	-9.502501E-1
2/25/2020  12:10:15.108028	-1.843170E-1
2/25/2020  12:10:15.108040	1.007134E+0
2/25/2020  12:10:15.108053	-1.843170E-1
2/25/2020  12:10:15.108065	-8.651464E-1
2/25/2020  12:10:15.108078	7.518234E-1
2/25/2020  12:10:15.108090	2.412013E-1
2/25/2020  12:10:15.108103	-9.502501E-1
2/25/2020  12:10:15.108115	6.667197E-1
2/25/2020  12:10:15.108128	7.099399E-2
2/25/2020  12:10:15.108140	-7.800428E-1
2/25/2020  12:10:15.108153	9.220307E-1
