waveform	Source signal	
t0	2/25/2020  12:05:05.461253	
delta t	1.250000E-5	

time[0]	Source signal
2/25/2020  12:05:05.461253	-7.800428E-1
2/25/2020  12:05:05.461266	8.369271E-1
2/25/2020  12:05:05.461278	1.560977E-1
2/25/2020  12:05:05.461291	-9.502501E-1
2/25/2020  12:05:05.461303	6.667197E-1
2/25/2020  12:05:05.461316	4.114087E-1
2/25/2020  12:05:05.461328	-1.035354E+0
2/25/2020  12:05:05.461341	4.965124E-1
2/25/2020  12:05:05.461353	4.965124E-1
2/25/2020  12:05:05.461366	-9.502501E-1
2/25/2020  12:05:05.461378	4.114087E-1
2/25/2020  12:05:05.461391	5.816160E-1
2/25/2020  12:05:05.461403	-1.035354E+0
2/25/2020  12:05:05.461416	2.412013E-1
2/25/2020  12:05:05.461428	7.518234E-1
2/25/2020  12:05:05.461441	-9.502501E-1
2/25/2020  12:05:05.461453	7.099399E-2
2/25/2020  12:05:05.461466	9.220307E-1
2/25/2020  12:05:05.461478	-7.800428E-1
2/25/2020  12:05:05.461491	-2.694207E-1
2/25/2020  12:05:05.461503	1.007134E+0
2/25/2020  12:05:05.461516	-5.247317E-1
2/25/2020  12:05:05.461528	-6.098354E-1
2/25/2020  12:05:05.461541	9.220307E-1
2/25/2020  12:05:05.461553	-1.410969E-2
2/25/2020  12:05:05.461566	-9.502501E-1
2/25/2020  12:05:05.461578	6.667197E-1
2/25/2020  12:05:05.461591	4.965124E-1
2/25/2020  12:05:05.461603	-9.502501E-1
2/25/2020  12:05:05.461616	7.099399E-2
2/25/2020  12:05:05.461628	9.220307E-1
2/25/2020  12:05:05.461641	-6.949391E-1
2/25/2020  12:05:05.461653	-4.396281E-1
2/25/2020  12:05:05.461666	1.007134E+0
2/25/2020  12:05:05.461678	-1.843170E-1
2/25/2020  12:05:05.461691	-8.651464E-1
2/25/2020  12:05:05.461703	8.369271E-1
2/25/2020  12:05:05.461716	2.412013E-1
2/25/2020  12:05:05.461728	-9.502501E-1
2/25/2020  12:05:05.461741	4.965124E-1
2/25/2020  12:05:05.461753	5.816160E-1
2/25/2020  12:05:05.461766	-9.502501E-1
2/25/2020  12:05:05.461778	2.412013E-1
2/25/2020  12:05:05.461791	7.518234E-1
2/25/2020  12:05:05.461803	-9.502501E-1
2/25/2020  12:05:05.461816	7.099399E-2
2/25/2020  12:05:05.461828	8.369271E-1
2/25/2020  12:05:05.461841	-8.651464E-1
2/25/2020  12:05:05.461853	-1.410969E-2
2/25/2020  12:05:05.461866	9.220307E-1
2/25/2020  12:05:05.461878	-7.800428E-1
2/25/2020  12:05:05.461891	-1.843170E-1
2/25/2020  12:05:05.461903	1.007134E+0
2/25/2020  12:05:05.461916	-6.098354E-1
2/25/2020  12:05:05.461928	-3.545244E-1
2/25/2020  12:05:05.461941	1.007134E+0
2/25/2020  12:05:05.461953	-4.396281E-1
2/25/2020  12:05:05.461966	-6.949391E-1
2/25/2020  12:05:05.461978	1.007134E+0
2/25/2020  12:05:05.461991	-9.921336E-2
2/25/2020  12:05:05.462003	-9.502501E-1
2/25/2020  12:05:05.462016	6.667197E-1
2/25/2020  12:05:05.462028	4.114087E-1
2/25/2020  12:05:05.462041	-1.035354E+0
2/25/2020  12:05:05.462053	3.263050E-1
2/25/2020  12:05:05.462066	8.369271E-1
2/25/2020  12:05:05.462078	-7.800428E-1
2/25/2020  12:05:05.462091	-2.694207E-1
2/25/2020  12:05:05.462103	1.007134E+0
2/25/2020  12:05:05.462116	-3.545244E-1
2/25/2020  12:05:05.462128	-7.800428E-1
2/25/2020  12:05:05.462141	8.369271E-1
2/25/2020  12:05:05.462153	1.560977E-1
2/25/2020  12:05:05.462166	-1.035354E+0
2/25/2020  12:05:05.462178	4.965124E-1
2/25/2020  12:05:05.462191	5.816160E-1
2/25/2020  12:05:05.462203	-9.502501E-1
2/25/2020  12:05:05.462216	1.560977E-1
2/25/2020  12:05:05.462228	8.369271E-1
2/25/2020  12:05:05.462241	-7.800428E-1
2/25/2020  12:05:05.462253	-1.843170E-1
2/25/2020  12:05:05.462266	9.220307E-1
2/25/2020  12:05:05.462278	-6.949391E-1
2/25/2020  12:05:05.462291	-3.545244E-1
2/25/2020  12:05:05.462303	1.007134E+0
2/25/2020  12:05:05.462316	-5.247317E-1
2/25/2020  12:05:05.462328	-5.247317E-1
2/25/2020  12:05:05.462341	1.007134E+0
2/25/2020  12:05:05.462353	-4.396281E-1
2/25/2020  12:05:05.462366	-6.098354E-1
2/25/2020  12:05:05.462378	1.007134E+0
2/25/2020  12:05:05.462391	-2.694207E-1
2/25/2020  12:05:05.462403	-7.800428E-1
