waveform	Ch0		Gen	
t0	2/25/2020  11:42:53.755695		2/25/2020  11:42:53.755695	
delta t	4.000000E-7		4.000000E-7	

time[0]	Ch0	time[1]	Gen
2/25/2020  11:42:53.755717	4.809994E+0	2/25/2020  11:42:53.755717	-9.923155E-1
2/25/2020  11:42:53.755717	4.809994E+0	2/25/2020  11:42:53.755717	-9.923155E-1
2/25/2020  11:42:53.755718	4.767855E+0	2/25/2020  11:42:53.755718	-9.923155E-1
2/25/2020  11:42:53.755718	4.767855E+0	2/25/2020  11:42:53.755718	-9.923155E-1
2/25/2020  11:42:53.755718	4.809994E+0	2/25/2020  11:42:53.755718	-9.923155E-1
2/25/2020  11:42:53.755719	4.809994E+0	2/25/2020  11:42:53.755719	-9.923155E-1
2/25/2020  11:42:53.755719	4.809994E+0	2/25/2020  11:42:53.755719	-9.496848E-1
2/25/2020  11:42:53.755720	4.767855E+0	2/25/2020  11:42:53.755720	-9.496848E-1
2/25/2020  11:42:53.755720	4.809994E+0	2/25/2020  11:42:53.755720	-9.496848E-1
2/25/2020  11:42:53.755720	4.809994E+0	2/25/2020  11:42:53.755720	-9.070540E-1
2/25/2020  11:42:53.755721	4.852133E+0	2/25/2020  11:42:53.755721	-8.644233E-1
2/25/2020  11:42:53.755721	4.852133E+0	2/25/2020  11:42:53.755721	-8.644233E-1
2/25/2020  11:42:53.755722	4.809994E+0	2/25/2020  11:42:53.755722	-8.217926E-1
2/25/2020  11:42:53.755722	4.809994E+0	2/25/2020  11:42:53.755722	-7.791619E-1
2/25/2020  11:42:53.755722	4.809994E+0	2/25/2020  11:42:53.755722	-7.791619E-1
2/25/2020  11:42:53.755723	4.809994E+0	2/25/2020  11:42:53.755723	-7.365312E-1
2/25/2020  11:42:53.755723	4.809994E+0	2/25/2020  11:42:53.755723	-6.512697E-1
2/25/2020  11:42:53.755724	4.809994E+0	2/25/2020  11:42:53.755724	-6.086390E-1
2/25/2020  11:42:53.755724	4.809994E+0	2/25/2020  11:42:53.755724	-5.660083E-1
2/25/2020  11:42:53.755724	4.809994E+0	2/25/2020  11:42:53.755724	-5.233776E-1
2/25/2020  11:42:53.755725	4.852133E+0	2/25/2020  11:42:53.755725	-4.381161E-1
2/25/2020  11:42:53.755725	4.809994E+0	2/25/2020  11:42:53.755725	-3.954854E-1
2/25/2020  11:42:53.755726	4.809994E+0	2/25/2020  11:42:53.755726	-3.102240E-1
2/25/2020  11:42:53.755726	4.809994E+0	2/25/2020  11:42:53.755726	-1.823318E-1
2/25/2020  11:42:53.755726	4.809994E+0	2/25/2020  11:42:53.755726	-9.707035E-2
2/25/2020  11:42:53.755727	4.809994E+0	2/25/2020  11:42:53.755727	3.082182E-2
2/25/2020  11:42:53.755727	4.852133E+0	2/25/2020  11:42:53.755727	1.160833E-1
2/25/2020  11:42:53.755728	4.809994E+0	2/25/2020  11:42:53.755728	2.439754E-1
2/25/2020  11:42:53.755728	4.809994E+0	2/25/2020  11:42:53.755728	3.718676E-1
2/25/2020  11:42:53.755728	4.809994E+0	2/25/2020  11:42:53.755728	4.571290E-1
2/25/2020  11:42:53.755729	4.809994E+0	2/25/2020  11:42:53.755729	5.423905E-1
2/25/2020  11:42:53.755729	4.809994E+0	2/25/2020  11:42:53.755729	6.276519E-1
2/25/2020  11:42:53.755730	4.852133E+0	2/25/2020  11:42:53.755730	7.555441E-1
2/25/2020  11:42:53.755730	4.852133E+0	2/25/2020  11:42:53.755730	7.981748E-1
2/25/2020  11:42:53.755730	4.852133E+0	2/25/2020  11:42:53.755730	8.834362E-1
2/25/2020  11:42:53.755731	4.809994E+0	2/25/2020  11:42:53.755731	8.834362E-1
2/25/2020  11:42:53.755731	4.852133E+0	2/25/2020  11:42:53.755731	9.260670E-1
2/25/2020  11:42:53.755732	4.809994E+0	2/25/2020  11:42:53.755732	9.686977E-1
2/25/2020  11:42:53.755732	4.809994E+0	2/25/2020  11:42:53.755732	1.011328E+0
2/25/2020  11:42:53.755732	4.852133E+0	2/25/2020  11:42:53.755732	9.686977E-1
2/25/2020  11:42:53.755733	4.852133E+0	2/25/2020  11:42:53.755733	9.686977E-1
2/25/2020  11:42:53.755733	4.809994E+0	2/25/2020  11:42:53.755733	9.260670E-1
2/25/2020  11:42:53.755734	4.809994E+0	2/25/2020  11:42:53.755734	8.834362E-1
2/25/2020  11:42:53.755734	4.809994E+0	2/25/2020  11:42:53.755734	7.981748E-1
2/25/2020  11:42:53.755734	4.809994E+0	2/25/2020  11:42:53.755734	7.555441E-1
2/25/2020  11:42:53.755735	4.852133E+0	2/25/2020  11:42:53.755735	6.276519E-1
2/25/2020  11:42:53.755735	4.809994E+0	2/25/2020  11:42:53.755735	5.423905E-1
2/25/2020  11:42:53.755736	4.809994E+0	2/25/2020  11:42:53.755736	4.571290E-1
2/25/2020  11:42:53.755736	4.809994E+0	2/25/2020  11:42:53.755736	3.292369E-1
2/25/2020  11:42:53.755736	4.852133E+0	2/25/2020  11:42:53.755736	2.013447E-1
2/25/2020  11:42:53.755737	4.809994E+0	2/25/2020  11:42:53.755737	7.345254E-2
2/25/2020  11:42:53.755737	4.809994E+0	2/25/2020  11:42:53.755737	-1.180891E-2
2/25/2020  11:42:53.755738	4.852133E+0	2/25/2020  11:42:53.755738	-1.823318E-1
2/25/2020  11:42:53.755738	4.852133E+0	2/25/2020  11:42:53.755738	-2.675932E-1
2/25/2020  11:42:53.755738	4.852133E+0	2/25/2020  11:42:53.755738	-3.954854E-1
2/25/2020  11:42:53.755739	4.809994E+0	2/25/2020  11:42:53.755739	-5.233776E-1
2/25/2020  11:42:53.755739	4.809994E+0	2/25/2020  11:42:53.755739	-6.086390E-1
2/25/2020  11:42:53.755740	4.852133E+0	2/25/2020  11:42:53.755740	-6.939004E-1
2/25/2020  11:42:53.755740	4.809994E+0	2/25/2020  11:42:53.755740	-7.791619E-1
2/25/2020  11:42:53.755740	4.809994E+0	2/25/2020  11:42:53.755740	-8.644233E-1
2/25/2020  11:42:53.755741	4.852133E+0	2/25/2020  11:42:53.755741	-9.070540E-1
2/25/2020  11:42:53.755741	4.852133E+0	2/25/2020  11:42:53.755741	-9.496848E-1
2/25/2020  11:42:53.755742	4.852133E+0	2/25/2020  11:42:53.755742	-9.923155E-1
2/25/2020  11:42:53.755742	4.852133E+0	2/25/2020  11:42:53.755742	-9.923155E-1
2/25/2020  11:42:53.755742	4.852133E+0	2/25/2020  11:42:53.755742	-9.923155E-1
2/25/2020  11:42:53.755743	4.852133E+0	2/25/2020  11:42:53.755743	-9.923155E-1
2/25/2020  11:42:53.755743	4.852133E+0	2/25/2020  11:42:53.755743	-9.496848E-1
2/25/2020  11:42:53.755744	4.809994E+0	2/25/2020  11:42:53.755744	-9.070540E-1
2/25/2020  11:42:53.755744	4.809994E+0	2/25/2020  11:42:53.755744	-8.644233E-1
2/25/2020  11:42:53.755744	4.809994E+0	2/25/2020  11:42:53.755744	-8.217926E-1
2/25/2020  11:42:53.755745	4.809994E+0	2/25/2020  11:42:53.755745	-7.365312E-1
2/25/2020  11:42:53.755745	4.809994E+0	2/25/2020  11:42:53.755745	-6.512697E-1
2/25/2020  11:42:53.755746	4.852133E+0	2/25/2020  11:42:53.755746	-5.233776E-1
2/25/2020  11:42:53.755746	4.852133E+0	2/25/2020  11:42:53.755746	-4.381161E-1
2/25/2020  11:42:53.755746	4.852133E+0	2/25/2020  11:42:53.755746	-3.102240E-1
2/25/2020  11:42:53.755747	4.852133E+0	2/25/2020  11:42:53.755747	-1.823318E-1
2/25/2020  11:42:53.755747	4.809994E+0	2/25/2020  11:42:53.755747	-5.443963E-2
2/25/2020  11:42:53.755748	4.809994E+0	2/25/2020  11:42:53.755748	3.082182E-2
2/25/2020  11:42:53.755748	4.852133E+0	2/25/2020  11:42:53.755748	1.587140E-1
2/25/2020  11:42:53.755748	4.852133E+0	2/25/2020  11:42:53.755748	2.866061E-1
2/25/2020  11:42:53.755749	4.852133E+0	2/25/2020  11:42:53.755749	4.144983E-1
2/25/2020  11:42:53.755749	4.852133E+0	2/25/2020  11:42:53.755749	4.997597E-1
2/25/2020  11:42:53.755750	4.852133E+0	2/25/2020  11:42:53.755750	6.276519E-1
2/25/2020  11:42:53.755750	4.852133E+0	2/25/2020  11:42:53.755750	7.129133E-1
2/25/2020  11:42:53.755750	4.852133E+0	2/25/2020  11:42:53.755750	7.555441E-1
2/25/2020  11:42:53.755751	4.852133E+0	2/25/2020  11:42:53.755751	8.408055E-1
2/25/2020  11:42:53.755751	4.852133E+0	2/25/2020  11:42:53.755751	8.834362E-1
2/25/2020  11:42:53.755752	4.852133E+0	2/25/2020  11:42:53.755752	9.260670E-1
2/25/2020  11:42:53.755752	4.852133E+0	2/25/2020  11:42:53.755752	9.686977E-1
2/25/2020  11:42:53.755752	4.852133E+0	2/25/2020  11:42:53.755752	9.686977E-1
2/25/2020  11:42:53.755753	4.852133E+0	2/25/2020  11:42:53.755753	9.686977E-1
2/25/2020  11:42:53.755753	4.852133E+0	2/25/2020  11:42:53.755753	9.686977E-1
2/25/2020  11:42:53.755754	4.809994E+0	2/25/2020  11:42:53.755754	9.686977E-1
2/25/2020  11:42:53.755754	4.852133E+0	2/25/2020  11:42:53.755754	8.834362E-1
2/25/2020  11:42:53.755754	4.852133E+0	2/25/2020  11:42:53.755754	8.408055E-1
2/25/2020  11:42:53.755755	4.852133E+0	2/25/2020  11:42:53.755755	7.981748E-1
2/25/2020  11:42:53.755755	4.852133E+0	2/25/2020  11:42:53.755755	6.702826E-1
2/25/2020  11:42:53.755756	4.852133E+0	2/25/2020  11:42:53.755756	5.850212E-1
2/25/2020  11:42:53.755756	4.852133E+0	2/25/2020  11:42:53.755756	4.997597E-1
2/25/2020  11:42:53.755756	4.852133E+0	2/25/2020  11:42:53.755756	3.718676E-1
2/25/2020  11:42:53.755757	4.852133E+0	2/25/2020  11:42:53.755757	2.439754E-1
2/25/2020  11:42:53.755757	4.852133E+0	2/25/2020  11:42:53.755757	1.587140E-1
2/25/2020  11:42:53.755758	4.809994E+0	2/25/2020  11:42:53.755758	3.082182E-2
2/25/2020  11:42:53.755758	4.852133E+0	2/25/2020  11:42:53.755758	-9.707035E-2
2/25/2020  11:42:53.755758	4.809994E+0	2/25/2020  11:42:53.755758	-2.249625E-1
2/25/2020  11:42:53.755759	4.809994E+0	2/25/2020  11:42:53.755759	-3.528547E-1
2/25/2020  11:42:53.755759	4.852133E+0	2/25/2020  11:42:53.755759	-4.381161E-1
2/25/2020  11:42:53.755760	4.852133E+0	2/25/2020  11:42:53.755760	-5.660083E-1
2/25/2020  11:42:53.755760	4.852133E+0	2/25/2020  11:42:53.755760	-6.512697E-1
2/25/2020  11:42:53.755760	4.809994E+0	2/25/2020  11:42:53.755760	-7.365312E-1
2/25/2020  11:42:53.755761	4.852133E+0	2/25/2020  11:42:53.755761	-8.217926E-1
2/25/2020  11:42:53.755761	4.852133E+0	2/25/2020  11:42:53.755761	-8.644233E-1
2/25/2020  11:42:53.755762	4.852133E+0	2/25/2020  11:42:53.755762	-9.496848E-1
2/25/2020  11:42:53.755762	4.852133E+0	2/25/2020  11:42:53.755762	-9.496848E-1
2/25/2020  11:42:53.755762	4.852133E+0	2/25/2020  11:42:53.755762	-9.923155E-1
2/25/2020  11:42:53.755763	4.852133E+0	2/25/2020  11:42:53.755763	-9.923155E-1
2/25/2020  11:42:53.755763	4.809994E+0	2/25/2020  11:42:53.755763	-9.923155E-1
2/25/2020  11:42:53.755764	4.852133E+0	2/25/2020  11:42:53.755764	-9.923155E-1
2/25/2020  11:42:53.755764	4.852133E+0	2/25/2020  11:42:53.755764	-9.496848E-1
2/25/2020  11:42:53.755764	4.852133E+0	2/25/2020  11:42:53.755764	-8.644233E-1
2/25/2020  11:42:53.755765	4.852133E+0	2/25/2020  11:42:53.755765	-8.217926E-1
2/25/2020  11:42:53.755765	4.852133E+0	2/25/2020  11:42:53.755765	-7.791619E-1
2/25/2020  11:42:53.755766	4.852133E+0	2/25/2020  11:42:53.755766	-6.939004E-1
2/25/2020  11:42:53.755766	4.852133E+0	2/25/2020  11:42:53.755766	-5.660083E-1
2/25/2020  11:42:53.755766	4.852133E+0	2/25/2020  11:42:53.755766	-4.807468E-1
2/25/2020  11:42:53.755767	4.852133E+0	2/25/2020  11:42:53.755767	-3.528547E-1
2/25/2020  11:42:53.755767	4.809994E+0	2/25/2020  11:42:53.755767	-2.249625E-1
2/25/2020  11:42:53.755768	4.852133E+0	2/25/2020  11:42:53.755768	-1.397011E-1
2/25/2020  11:42:53.755768	4.852133E+0	2/25/2020  11:42:53.755768	-1.180891E-2
2/25/2020  11:42:53.755768	4.852133E+0	2/25/2020  11:42:53.755768	1.160833E-1
2/25/2020  11:42:53.755769	4.852133E+0	2/25/2020  11:42:53.755769	2.013447E-1
2/25/2020  11:42:53.755769	4.852133E+0	2/25/2020  11:42:53.755769	3.292369E-1
2/25/2020  11:42:53.755770	4.852133E+0	2/25/2020  11:42:53.755770	4.571290E-1
2/25/2020  11:42:53.755770	4.852133E+0	2/25/2020  11:42:53.755770	5.423905E-1
2/25/2020  11:42:53.755770	4.852133E+0	2/25/2020  11:42:53.755770	6.702826E-1
2/25/2020  11:42:53.755771	4.852133E+0	2/25/2020  11:42:53.755771	7.555441E-1
2/25/2020  11:42:53.755771	4.852133E+0	2/25/2020  11:42:53.755771	8.408055E-1
2/25/2020  11:42:53.755772	4.852133E+0	2/25/2020  11:42:53.755772	8.834362E-1
