2,-143.9045121,-302.6037276,-478.3237442
,-390.9877709,-572.9377152,-754.8876596
,-667.5516863,-849.5016307,-1040.109184
,598.7274031,462.0466825,325.3659619
,390.9727078,254.2919872,117.6112666
,183.2180125,46.53729192,-90.14342868
,1341.359318,1204.678598,1067.997877
,1133.604623,996.9239025,860.2431819
,925.8499278,789.1692072,652.4884866
,,,
1,-458.3862739,-604.5252118,-946.8275891
,-580.439642,-708.4025595,-1105.46669
,-702.4930101,-812.2799071,-1264.10579
,515.6300458,352.2398324,132.9240281
,411.7526981,248.3624847,29.04668043
,307.8753505,144.4851371,-74.83066722
,1472.39509,1309.004877,1089.689072
,1368.517742,1205.127529,985.8117246
,1264.640395,1101.250181,881.934377
